label,count,how,nation
Bill Gates,75,Microsoft,United States
Amancio Ortega,67,Zara,Spain
Warren Buffett,60.8,Berkshire Hathaway,United States
Carlos Slim Helu,50,Telecom,Mexico
Jeff Bezos,45.2,Amazon.Com,United States
Mark Zuckerberg,44.6,Facebook,United States
Larry Ellison,43.6,Oracle,United States
Michael Bloomberg,40,Bloomberg LP,United States
Charles Koch,39.6,Diversified,United States
David Koch,39.6,Diversified,United States
Liliane Bettencourt,36.1,L'Oreal,France
Larry Page,35.2,Google,United States
Sergey Brin,34.4,Google,United States
Bernard Arnault,34,LVMH,France
Jim Walton,33.6,Wal-Mart,United States
Alice Walton,32.3,Wal-Mart,United States
S. Robson Walton,31.9,Wal-Mart,United States
Wang Jianlin,28.7,Real Estate,China
Jorge Paulo Lemann,27.8,Beer,Brazil
Li Ka-Shing,27.1,Diversified,Hong Kong





